Country ID,Country Name,PA Category,# PAs,Mean area of PAs,Area of largest PA,Name of largest PA,Year of establ. Of largest PA
28,Bolivia,II,6,3396.02,10995.14,Bahuaja Sonene,1996
28,Bolivia,III,1,988.58,988.58,Cerro Chovoreca,2001
28,Bolivia,IV,7,1048.8,2090.54,Las Vicunas,1983
28,Bolivia,VI,8,4638.3,27776.92,De la Vicuña,1993
29,"Bonaire, Sint Eustatius and Saba",ALL,5,565.56,2703.53,Saba,1987
29,"Bonaire, Sint Eustatius and Saba",II,5,565.56,2703.53,Saba,1987
30,Bosnia and Herzegovina,ALL,11,82.07,324.94,Piva,2015
30,Bosnia and Herzegovina,Ia,2,2.92,2.96,Lom,1956
30,Bosnia and Herzegovina,Ib,2,7.03,8.47,Gromiželj,2011
30,Bosnia and Herzegovina,II,3,149.83,249.77,Nacionalni park Tara,1981
30,Bosnia and Herzegovina,III,1,0.44,0.44,Pecina Ljubacevo,2008
30,Bosnia and Herzegovina,V,2,216.32,324.94,Piva,2015
30,Bosnia and Herzegovina,VI,1,0.29,0.29,Univerzitetski grad,2012
31,Botswana,ALL,22,6044.74,52475.76,Central Kalahari,1961
31,Botswana,Ib,7,14858.35,52475.76,Central Kalahari,1961
31,Botswana,II,10,2377.45,14776.49,Hwange,1949
31,Botswana,IV,3,602.04,964.6,Nata,1993
31,Botswana,VI,2,1697.55,3005.58,Matetsi,1975
33,Brazil,ALL,1122,2057.0,405901.3,Área de Proteção Ambiental do Arquipelago de Trinidade e Martim Vaz,2018
33,Brazil,Ia,134,1415.24,42320.73,Estação Ecológica Do Grão Pará,2006
33,Brazil,Ib,1,43.89,43.89,Guaraqueçaba Ecological Station,2017
33,Brazil,II,264,1815.56,38911.28,Parque Nacional Montanhas Do Tumucumaque,2002
33,Brazil,III,27,4529.34,67993.25,"Monumento Natural Das Ilhas de Trinidade, Martim Vaz e Do Monte Columbia",2018
33,Brazil,IV,289,9.32,1014.64,Sipaliwini,1972
33,Brazil,V,204,4205.43,405901.3,Área de Proteção Ambiental do Arquipelago de Trinidade e Martim Vaz,2018
33,Brazil,VI,203,3231.84,53630.69,Imataca,1961
34,British Indian Ocean Territory,ALL,5,227.92,625.46,Eastern Peros Banhos Atoll,1998
34,British Indian Ocean Territory,II,4,261.23,625.46,Eastern Peros Banhos Atoll,1998
34,British Indian Ocean Territory,V,1,94.68,94.68,Diego Garcia,1997
35,British Virgin Islands,ALL,20,0.35,2.71,RMS Rhone,1980
35,British Virgin Islands,II,19,0.36,2.71,RMS Rhone,1980
35,British Virgin Islands,IV,1,0.05,0.05,Sandy Cay,2008
36,Brunei,ALL,32,61.9,555.38,Mulu,1974
